Q_ind_0_anc_1-0,0.302718,0.302633,0.288874,0.315640
Q_ind_1_anc_1-0,0.430761,0.430760,0.415967,0.444804
Q_ind_63_anc_1-0,0.500850,0.525534,0.000395,0.999726
Q_ind_2_anc_1-0,0.339064,0.339047,0.325612,0.352865
Q_ind_3_anc_1-0,0.373265,0.373281,0.359083,0.386175
Q_ind_64_anc_1-0,0.209547,0.072493,0.000198,0.975890
Q_ind_4_anc_1-0,0.306436,0.306187,0.292719,0.321032
Q_ind_5_anc_1-0,0.344561,0.344379,0.332338,0.358815
Q_ind_65_anc_1-0,0.443434,0.484348,0.000184,0.987410
Q_ind_6_anc_1-0,0.288331,0.288426,0.275647,0.301336
Q_ind_8_anc_1-0,0.343598,0.343418,0.329298,0.356830
Q_ind_66_anc_1-0,0.477674,0.479139,0.000448,0.995909
Q_ind_7_anc_1-0,0.308145,0.307917,0.295514,0.321198
Q_ind_9_anc_1-0,0.368951,0.369019,0.354527,0.383022
Q_ind_67_anc_1-0,0.739636,0.892249,0.001280,0.999793
Q_ind_10_anc_1-0,0.309404,0.309478,0.296505,0.322658
Q_ind_11_anc_1-0,0.387272,0.387220,0.372747,0.402706
Q_ind_68_anc_1-0,0.651904,0.761261,0.004449,0.999530
Q_ind_12_anc_1-0,0.281838,0.282000,0.268931,0.294953
Q_ind_13_anc_1-0,0.337702,0.337749,0.324728,0.350243
Q_ind_69_anc_1-0,0.212162,0.005188,0.000628,0.999820
Q_ind_14_anc_1-0,0.277167,0.277233,0.264299,0.289985
Q_ind_15_anc_1-0,0.395354,0.395533,0.381239,0.409356
Q_ind_70_anc_1-0,0.501970,0.520427,0.000176,0.992925
Q_ind_16_anc_1-0,0.264769,0.264740,0.252353,0.277542
Q_ind_17_anc_1-0,0.357762,0.357433,0.344530,0.371075
Q_ind_71_anc_1-0,0.681656,0.761248,0.018982,0.998002
Q_ind_18_anc_1-0,0.326680,0.326553,0.313060,0.340132
Q_ind_19_anc_1-0,0.336899,0.337036,0.323046,0.350507
Q_ind_72_anc_1-0,0.597869,0.645163,0.002369,0.997971
Q_ind_20_anc_1-0,0.310721,0.310475,0.297506,0.325037
Q_ind_21_anc_1-0,0.378077,0.378160,0.364142,0.392006
Q_ind_73_anc_1-0,0.700407,0.699541,0.058794,0.995097
Q_ind_22_anc_1-0,0.265866,0.266121,0.253095,0.278479
Q_ind_23_anc_1-0,0.352912,0.352763,0.339619,0.367425
Q_ind_74_anc_1-0,0.656596,0.811104,0.018087,0.998878
Q_ind_24_anc_1-0,0.304714,0.304472,0.291452,0.318992
Q_ind_25_anc_1-0,0.330627,0.330747,0.317266,0.344556
Q_ind_75_anc_1-0,0.668365,0.833324,0.000661,0.999590
Q_ind_26_anc_1-0,0.276682,0.276611,0.265319,0.289347
Q_ind_28_anc_1-0,0.387611,0.387719,0.372966,0.401860
Q_ind_76_anc_1-0,0.631561,0.770302,0.001227,0.999780
Q_ind_27_anc_1-0,0.277091,0.276941,0.264836,0.289593
Q_ind_29_anc_1-0,0.380884,0.380861,0.366010,0.395299
Q_ind_77_anc_1-0,0.661846,0.788426,0.001299,0.999092
Q_ind_30_anc_1-0,0.811844,0.811939,0.774763,0.848566
Q_ind_31_anc_1-0,0.957069,0.957648,0.936564,0.977548
Q_ind_78_anc_1-0,0.175532,0.063258,0.000200,0.832515
Q_ind_33_anc_1-0,0.274303,0.274314,0.261099,0.288066
Q_ind_34_anc_1-0,0.372202,0.371985,0.358918,0.386933
Q_ind_80_anc_1-0,0.583079,0.718033,0.000358,0.997656
Q_ind_35_anc_1-0,0.301124,0.301174,0.289459,0.313965
Q_ind_36_anc_1-0,0.348291,0.348326,0.334639,0.361997
Q_ind_81_anc_1-0,0.798252,0.900732,0.126505,0.999600
Q_ind_37_anc_1-0,0.311908,0.311819,0.299263,0.325265
Q_ind_38_anc_1-0,0.330610,0.330392,0.318225,0.344587
Q_ind_82_anc_1-0,0.469815,0.285222,0.087929,0.998121
Q_ind_39_anc_1-0,0.319665,0.319408,0.307227,0.333754
Q_ind_40_anc_1-0,0.453687,0.453595,0.438559,0.469166
Q_ind_83_anc_1-0,0.728027,0.811527,0.011291,0.998838
Q_ind_41_anc_1-0,0.326036,0.326196,0.312289,0.339667
Q_ind_42_anc_1-0,0.354897,0.354866,0.339928,0.368797
Q_ind_84_anc_1-0,0.511013,0.503929,0.001461,0.999132
Q_ind_43_anc_1-0,0.349192,0.348764,0.335339,0.363829
Q_ind_44_anc_1-0,0.391628,0.391684,0.377851,0.405599
Q_ind_85_anc_1-0,0.599931,0.712303,0.001499,0.998429
Q_ind_45_anc_1-0,0.300915,0.300883,0.287338,0.314336
Q_ind_46_anc_1-0,0.390004,0.389936,0.375152,0.404629
Q_ind_86_anc_1-0,0.513998,0.440487,0.001420,0.996604
Q_ind_47_anc_1-0,0.452470,0.452469,0.436667,0.468310
Q_ind_48_anc_1-0,0.338906,0.338978,0.324962,0.351988
Q_ind_87_anc_1-0,0.315700,0.161129,0.000104,0.999771
Q_ind_49_anc_1-0,0.311590,0.311706,0.298315,0.324080
Q_ind_50_anc_1-0,0.352440,0.352366,0.337638,0.367511
Q_ind_88_anc_1-0,0.604367,0.695235,0.000022,0.999882
Q_ind_51_anc_1-0,0.659675,0.659519,0.641996,0.679149
Q_ind_52_anc_1-0,0.371705,0.371545,0.358082,0.386672
Q_ind_89_anc_1-0,0.261439,0.189211,0.000143,0.973950
Q_ind_53_anc_1-0,0.304753,0.304642,0.292068,0.318193
Q_ind_54_anc_1-0,0.341817,0.341875,0.327636,0.355504
Q_ind_90_anc_1-0,0.631073,0.747190,0.001212,0.998210
Q_ind_55_anc_1-0,0.275138,0.275224,0.262951,0.287069
Q_ind_56_anc_1-0,0.336361,0.336578,0.321551,0.350975
Q_ind_91_anc_1-0,0.762959,0.906609,0.009695,0.999044
Q_ind_57_anc_1-0,0.297019,0.296807,0.283939,0.311252
Q_ind_58_anc_1-0,0.356814,0.356938,0.342273,0.371149
Q_ind_92_anc_1-0,0.615354,0.689025,0.001027,0.999910
Q_ind_59_anc_1-0,0.273542,0.273452,0.262008,0.285760
Q_ind_60_anc_1-0,0.669355,0.669128,0.652759,0.686251
Q_ind_93_anc_1-0,0.556515,0.600052,0.001338,0.998549
Q_ind_61_anc_1-0,0.281375,0.281399,0.268412,0.293803
Q_ind_62_anc_1-0,0.368586,0.368477,0.354564,0.382298
Q_ind_94_anc_1-0,0.586241,0.675146,0.000340,0.999544
